,id,size,freq,q1,q2,q3,q4,RT,correct
0,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,11,0,LF,13,0,0,16,5525,59
0,11,0,LF,13,0,0,16,5825,64
0,11,0,LF,0,0,7,8,3775,64
0,11,0,LF,5,6,0,0,6175,60
0,11,0,HF,0,10,0,12,5925,64
0,11,0,NF,17,18,19,20,7650,55
0,11,0,HF,1,2,3,4,9525,52
0,11,0,LF,5,14,7,16,6375,51
0,11,0,LF,13,14,15,16,3675,53
0,11,0,HF,1,10,11,4,9700,49
0,11,0,LF,5,6,7,8,6900,52
0,11,0,HF,9,2,3,12,9225,50
0,11,0,NF,21,22,23,24,9625,49
0,11,0,HF,1,2,0,0,5650,62
0,11,0,NF,17,18,23,24,7650,55
0,11,0,NF,0,18,0,20,4275,64
0,11,0,HF,9,10,11,12,9375,47
0,11,0,LF,13,6,15,8,3825,54
0,11,0,NF,0,22,23,0,5425,64
0,11,0,NF,17,0,19,0,5025,64
0,11,0,HF,0,0,3,4,5150,60
0,11,0,LF,0,14,15,0,6525,62
0,11,0,NF,21,0,0,24,5075,62
0,11,0,NF,21,22,19,20,7500,57
