,id,size,freq,q1,q2,q3,q4,RT,correct
0,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,12,1,NF,0,18,0,20,4600,64
0,12,1,NF,0,18,0,20,4950,64
0,12,1,HF,1,2,0,0,6075,64
0,12,1,NF,17,18,23,24,10025,46
0,12,1,NF,17,0,19,0,5900,64
0,12,1,HF,0,10,0,12,4650,62
0,12,1,LF,0,14,15,0,8150,62
0,12,1,LF,5,6,0,0,4775,64
0,12,1,NF,21,0,0,24,5650,63
0,12,1,HF,9,0,11,0,3575,64
0,12,1,HF,9,10,11,12,6825,59
0,12,1,NF,0,22,23,0,4575,57
0,12,1,NF,21,22,23,24,8075,53
0,12,1,HF,9,2,3,12,7550,47
0,12,1,LF,13,14,15,16,9175,55
0,12,1,HF,0,0,3,4,3375,64
0,12,1,LF,0,0,7,8,3850,64
0,12,1,HF,1,10,11,4,8875,56
0,12,1,HF,1,2,3,4,7750,60
0,12,1,LF,13,0,0,16,6350,62
0,12,1,LF,13,6,15,8,10025,53
0,12,1,NF,17,18,19,20,10025,49
0,12,1,NF,21,22,19,20,10025,47
0,12,1,LF,5,14,7,16,8975,60
