,id,size,freq,q1,q2,q3,q4,RT,correct
0,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,15,0,LF,5,6,7,8,10025,52
0,15,0,LF,5,6,7,8,4300,56
0,15,0,LF,0,0,7,8,4575,62
0,15,0,HF,9,0,11,0,8625,57
0,15,0,LF,13,6,15,8,3950,51
0,15,0,NF,21,0,0,24,3325,60
0,15,0,HF,1,10,11,4,3600,54
0,15,0,HF,0,10,0,12,2800,59
0,15,0,NF,0,18,0,20,2775,60
0,15,0,HF,1,2,0,0,3800,60
0,15,0,NF,17,0,19,0,3050,61
0,15,0,NF,17,18,19,20,3575,54
0,15,0,NF,21,22,23,24,4175,52
0,15,0,LF,13,14,15,16,5525,49
0,15,0,NF,21,22,19,20,4375,56
0,15,0,HF,9,2,3,12,3750,52
0,15,0,NF,17,18,23,24,3125,54
0,15,0,HF,1,2,3,4,2925,54
0,15,0,LF,5,14,7,16,6900,56
0,15,0,LF,13,0,0,16,6250,61
0,15,0,LF,5,6,0,0,4375,64
0,15,0,NF,0,22,23,0,4575,64
0,15,0,LF,0,14,15,0,3450,61
0,15,0,HF,0,0,3,4,4125,63
