,id,size,freq,q1,q2,q3,q4,RT,correct
0,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,420,1,LF,5,14,7,16,1500,48
0,420,1,LF,5,14,7,16,675,48
0,420,1,NF,21,0,0,24,1275,54
0,420,1,LF,5,6,7,8,875,48
0,420,1,NF,0,18,0,20,500,56
