,id,size,freq,q1,q2,q3,q4,RT,correct
0,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,13,0,HF,9,0,11,0,4700,59
0,13,0,HF,9,0,11,0,6425,62
0,13,0,HF,1,2,0,0,5725,64
0,13,0,HF,0,10,0,12,4900,64
0,13,0,LF,13,6,15,8,8050,51
0,13,0,LF,5,6,7,8,9725,45
0,13,0,NF,17,18,23,24,10025,52
0,13,0,LF,5,6,0,0,4125,64
0,13,0,LF,0,0,7,8,3450,64
0,13,0,HF,9,10,11,12,8250,55
0,13,0,NF,21,0,0,24,4200,62
0,13,0,LF,5,14,7,16,5175,55
0,13,0,LF,13,0,0,16,7325,64
0,13,0,LF,0,14,15,0,5300,60
0,13,0,LF,13,14,15,16,6700,51
0,13,0,NF,21,22,19,20,7950,55
0,13,0,HF,1,2,3,4,8300,46
0,13,0,HF,1,10,11,4,7425,50
0,13,0,NF,17,18,19,20,7700,53
0,13,0,NF,0,18,0,20,4500,64
0,13,0,NF,21,22,23,24,6250,55
0,13,0,NF,0,22,23,0,6175,64
0,13,0,HF,9,2,3,12,5850,55
0,13,0,HF,0,0,3,4,6500,58
