,id,size,freq,q1,q2,q3,q4,RT,correct
0,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,7,1,NF,0,22,23,0,10025,64
0,7,1,NF,0,22,23,0,6750,64
0,7,1,NF,21,22,19,20,8050,54
0,7,1,HF,9,10,11,12,10025,56
0,7,1,HF,0,0,3,4,6025,64
0,7,1,HF,9,0,11,0,3375,64
0,7,1,NF,0,18,0,20,3225,64
0,7,1,LF,13,14,15,16,4825,59
0,7,1,NF,17,18,19,20,10025,60
0,7,1,HF,1,2,3,4,10025,60
0,7,1,LF,13,6,15,8,7125,56
0,7,1,HF,0,10,0,12,4700,64
0,7,1,LF,0,14,15,0,3500,64
0,7,1,LF,5,6,7,8,7425,60
0,7,1,LF,5,14,7,16,5175,55
0,7,1,NF,21,0,0,24,6425,62
0,7,1,HF,1,10,11,4,5850,58
0,7,1,LF,5,6,0,0,3000,64
0,7,1,HF,1,2,0,0,3225,64
0,7,1,NF,17,0,19,0,3350,64
0,7,1,NF,17,18,23,24,6600,58
0,7,1,LF,0,0,7,8,3350,64
0,7,1,HF,9,2,3,12,7525,57
0,7,1,LF,13,0,0,16,4175,64
